round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,198
26,198
27,197
28,196
29,195
30,194
31,194
32,193
33,193
34,192
35,190
36,188
37,188
38,187
39,185
40,184
41,181
42,179
43,176
44,176
45,175
46,175
47,175
48,173
49,172
50,170
51,169
52,169
53,168
54,167
55,165
56,164
57,164
58,163
59,162
60,161
61,160
62,160
63,157
64,154
65,152
66,152
67,152
68,151
69,150
70,148
71,147
72,147
73,146
74,143
75,142
76,141
77,141
78,138
79,136
80,132
81,130
82,128
83,128
84,126
85,126
86,125
87,125
88,122
89,120
90,118
91,117
92,115
93,113
94,112
95,110
96,109
97,109
98,109
99,108
100,108
