round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,199
22,198
23,197
24,196
25,196
26,192
27,191
28,190
29,187
30,186
31,186
32,186
33,184
34,180
35,180
36,179
37,176
38,176
39,173
40,170
41,168
42,166
43,166
44,163
45,159
46,157
47,155
48,149
49,148
50,148
51,143
52,140
53,137
54,136
55,136
56,135
57,133
58,133
59,131
60,129
61,126
62,124
63,123
64,121
65,120
66,117
67,114
68,113
69,110
70,105
71,104
72,103
73,102
74,101
75,94
76,92
77,91
78,90
79,89
80,85
81,85
82,83
83,81
84,78
85,73
86,72
87,71
88,70
89,69
90,69
91,69
92,68
93,64
94,63
95,61
96,59
97,59
98,56
99,55
100,54
