round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,199
20,199
21,199
22,199
23,199
24,196
25,196
26,194
27,192
28,192
29,192
30,190
31,190
32,190
33,187
34,184
35,183
36,181
37,176
38,175
39,175
40,175
41,174
42,173
43,169
44,169
45,166
46,165
47,163
48,163
49,159
50,159
51,159
52,157
53,157
54,156
55,155
56,154
57,153
58,153
59,152
60,151
61,151
62,151
63,150
64,150
65,149
66,148
67,147
68,147
69,146
70,146
71,145
72,145
73,144
74,143
75,141
76,140
77,140
78,137
79,133
80,132
81,130
82,130
83,127
84,126
85,126
86,126
87,125
88,124
89,124
90,124
91,124
92,124
93,122
94,121
95,121
96,121
97,120
98,119
99,118
100,117
