round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,199
20,199
21,198
22,198
23,198
24,195
25,193
26,193
27,192
28,190
29,189
30,188
31,186
32,185
33,181
34,181
35,179
36,178
37,173
38,171
39,168
40,167
41,165
42,164
43,160
44,160
45,154
46,152
47,150
48,146
49,142
50,142
51,141
52,140
53,140
54,138
55,137
56,134
57,133
58,132
59,128
60,125
61,121
62,119
63,119
64,119
65,118
66,115
67,113
68,112
69,109
70,108
71,106
72,106
73,106
74,105
75,104
76,103
77,101
78,98
79,97
80,96
81,94
82,92
83,91
84,88
85,87
86,87
87,84
88,82
89,81
90,80
91,80
92,80
93,79
94,78
95,75
96,75
97,74
98,69
99,69
100,69
