round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,199
26,195
27,194
28,192
29,186
30,185
31,184
32,183
33,180
34,179
35,179
36,179
37,177
38,175
39,175
40,174
41,173
42,171
43,170
44,170
45,170
46,169
47,168
48,168
49,166
50,166
51,166
52,164
53,163
54,163
55,163
56,162
57,162
58,159
59,159
60,159
61,158
62,158
63,157
64,157
65,157
66,156
67,156
68,156
69,154
70,153
71,152
72,151
73,151
74,150
75,149
76,149
77,147
78,146
79,145
80,145
81,144
82,144
83,144
84,144
85,144
86,140
87,139
88,138
89,137
90,137
91,136
92,135
93,134
94,133
95,131
96,131
97,129
98,128
99,128
100,126
