round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,198
24,197
25,196
26,196
27,196
28,196
29,196
30,194
31,193
32,193
33,192
34,191
35,190
36,190
37,189
38,188
39,187
40,187
41,184
42,183
43,183
44,181
45,181
46,180
47,180
48,179
49,178
50,177
51,176
52,175
53,174
54,174
55,172
56,171
57,169
58,165
59,161
60,161
61,158
62,156
63,156
64,155
65,154
66,152
67,152
68,152
69,149
70,145
71,144
72,143
73,141
74,139
75,136
76,136
77,136
78,134
79,133
80,132
81,132
82,131
83,130
84,128
85,126
86,126
87,125
88,124
89,124
90,122
91,117
92,117
93,117
94,115
95,112
96,110
97,109
98,106
99,106
100,106
