round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,200,200
24,199,200,200,198,198,199
25,198,198,199,198,195,197
26,197,198,195,196,195,196
27,195,198,194,193,192,194
28,194,196,192,193,190,193
29,192,195,189,192,188,191
30,189,193,187,192,188,189
31,187,191,184,191,188,188
32,186,188,182,189,186,186
33,183,188,180,186,185,184
34,182,186,177,184,183,182
35,182,186,176,181,178,180
36,179,186,175,179,176,179
37,174,184,173,177,176,176
38,174,183,172,174,176,175
39,172,178,168,172,174,172
40,172,177,167,170,172,171
41,171,177,166,169,171,170
42,170,176,164,165,171,169
43,168,174,162,161,170,167
44,167,171,161,161,167,165
45,165,171,160,159,165,164
46,163,165,159,155,165,161
47,162,162,158,155,165,160
48,159,162,158,154,164,159
49,159,160,157,153,160,157
50,157,157,155,153,156,155
51,156,154,153,151,155,153
52,154,151,151,147,155,151
53,153,148,151,146,154,150
54,150,146,149,146,153,148
55,147,142,146,142,151,145
56,145,140,143,141,146,143
57,143,138,142,139,145,141
58,143,134,141,137,144,139
59,143,134,140,137,143,139
60,143,133,139,135,142,138
61,141,133,136,134,141,137
62,139,133,134,133,139,135
63,137,130,133,132,135,133
64,136,128,132,130,133,131
65,135,126,131,130,132,130
66,131,125,129,129,130,128
67,129,123,127,128,128,127
68,127,123,127,126,126,125
69,124,122,125,126,125,124
70,121,121,122,121,123,121
71,119,119,121,119,120,119
72,116,119,119,118,120,118
73,116,118,117,115,120,117
74,115,113,115,113,120,115
75,114,113,114,112,120,114
76,113,112,113,112,117,113
77,110,108,111,109,114,110
78,105,105,109,107,112,107
79,105,102,109,104,111,106
80,102,101,107,103,109,104
81,102,99,107,103,107,103
82,101,96,104,102,106,101
83,99,94,103,101,105,100
84,99,91,102,96,100,97
85,94,89,92,94,97,93
86,92,87,88,93,94,90
87,91,86,87,91,92,89
88,89,84,86,90,92,88
89,89,82,86,90,91,87
90,87,80,86,88,91,86
91,84,80,85,87,90,85
92,83,79,83,86,87,83
93,81,75,80,85,87,81
94,78,74,78,83,84,79
95,76,74,76,83,84,78
96,73,74,74,83,83,77
97,72,72,72,81,80,75
98,72,72,72,80,79,75
99,68,70,70,79,78,73
100,66,69,69,78,76,71
