round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,198,199,198,200,200,199
14,198,199,198,200,199,198
15,197,199,198,199,199,198
16,197,197,198,199,199,198
17,197,197,198,198,196,197
18,196,196,198,198,195,196
19,194,196,198,197,193,195
20,192,196,197,196,191,194
21,191,195,193,196,187,192
22,188,195,190,192,187,190
23,186,192,188,188,187,188
24,182,192,186,185,185,186
25,180,190,181,180,184,183
26,178,187,178,178,182,180
27,177,184,177,175,181,178
28,176,178,176,173,179,176
29,173,177,173,171,176,174
30,171,173,170,167,176,171
31,169,171,169,167,174,170
32,166,169,165,163,171,166
33,164,166,163,159,167,163
34,161,163,161,158,163,161
35,159,160,157,154,161,158
36,156,157,151,153,157,154
37,155,154,148,150,153,152
38,152,150,146,148,148,148
39,152,144,144,145,146,146
40,151,143,140,142,145,144
41,148,140,140,140,144,142
42,145,134,137,139,143,139
43,141,130,134,139,141,137
44,140,126,133,138,140,135
45,135,124,130,136,139,132
46,132,121,128,135,138,130
47,129,121,128,132,134,128
48,127,117,126,128,130,125
49,126,115,124,127,127,123
50,119,113,121,126,124,120
51,116,112,118,124,119,117
52,111,109,117,119,117,114
53,108,105,111,113,114,110
54,105,104,108,110,111,107
55,103,101,107,107,109,105
56,99,99,105,103,108,102
57,98,95,100,100,108,100
58,95,92,96,98,105,97
59,93,89,94,95,102,94
60,90,89,90,90,97,91
61,86,82,88,87,93,87
62,85,81,84,84,91,85
63,82,80,81,82,87,82
64,79,79,75,80,82,79
65,74,75,73,76,80,75
66,72,72,72,75,78,73
67,69,69,70,74,77,71
68,67,66,67,68,75,68
69,67,61,64,66,71,65
70,60,60,61,63,69,62
71,57,58,58,59,60,58
72,52,55,52,57,56,54
73,51,52,51,55,50,51
74,50,48,47,51,47,48
75,48,44,46,50,45,46
76,44,42,43,47,44,44
77,43,42,40,46,42,42
78,43,42,40,41,41,41
79,42,40,40,40,40,40
80,41,40,40,40,40,40
81,40,40,40,40,40,40
82,40,40,40,40,40,40
83,40,40,40,40,40,40
84,40,40,40,40,40,40
85,40,40,40,40,40,40
86,40,40,40,40,40,40
87,40,40,40,40,40,40
88,40,40,40,40,40,40
89,40,40,40,40,40,40
90,40,40,40,40,40,40
91,40,40,40,40,40,40
92,40,40,40,40,40,40
93,40,40,40,40,40,40
94,40,40,40,40,40,40
95,40,40,40,40,40,40
96,40,40,40,40,40,40
97,40,40,40,40,40,40
98,40,40,40,40,40,40
99,40,40,40,40,40,40
100,40,40,40,40,40,40
