round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,200,200
24,199,200,200,200,200,199
25,199,200,200,200,199,199
26,198,200,200,200,199,199
27,198,200,198,197,198,198
28,198,199,197,196,193,196
29,196,198,194,193,190,194
30,193,197,191,192,189,192
31,190,196,187,192,187,190
32,187,193,187,191,186,188
33,184,190,184,189,185,186
34,183,189,182,188,184,185
35,181,188,180,185,183,183
36,181,187,177,183,181,181
37,180,187,175,182,180,180
38,178,186,173,177,179,178
39,174,185,172,175,174,176
40,174,183,172,173,172,174
41,173,179,169,171,170,172
42,173,176,167,168,170,170
43,171,176,164,168,170,169
44,169,175,163,165,170,168
45,169,171,162,161,168,166
46,167,168,160,157,167,163
47,165,167,159,157,165,162
48,164,164,158,155,162,160
49,158,161,158,154,161,158
50,157,157,154,154,157,155
51,155,155,152,153,155,154
52,155,153,151,150,154,152
53,153,153,151,148,153,151
54,151,151,149,146,151,149
55,150,146,148,144,150,147
56,148,144,146,142,150,146
57,147,143,146,141,149,145
58,146,140,145,140,148,143
59,145,138,143,138,148,142
60,144,136,142,136,146,140
61,144,134,141,136,145,140
62,141,133,139,136,142,138
63,140,132,136,134,141,136
64,138,132,134,134,140,135
65,137,129,134,134,137,134
66,135,127,131,131,135,131
67,133,125,130,130,131,129
68,127,125,130,129,129,128
69,126,123,129,126,128,126
70,126,122,126,123,125,124
71,122,120,124,123,124,122
72,122,117,124,122,124,121
73,119,115,121,119,124,119
74,118,113,121,119,123,118
75,115,111,116,115,121,115
76,115,110,113,114,120,114
77,113,109,112,112,115,112
78,113,107,110,112,112,110
79,111,103,109,111,110,108
80,109,103,107,106,107,106
81,107,101,104,104,107,104
82,104,99,102,100,105,102
83,104,98,101,99,104,101
84,99,97,95,96,102,97
85,98,90,93,94,101,95
86,98,89,93,94,99,94
87,96,87,92,91,99,93
88,95,87,90,90,95,91
89,91,84,89,90,93,89
90,89,80,88,90,90,87
91,89,79,86,89,89,86
92,88,78,84,87,89,85
93,86,76,81,85,89,83
94,84,75,79,84,87,81
95,81,74,78,84,86,80
96,79,74,77,84,85,79
97,76,72,75,83,81,77
98,73,72,73,81,80,75
99,72,71,72,80,78,74
100,66,68,71,77,75,71
