round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,200,200
24,198,200,198,199,200,199
25,198,200,196,198,199,198
26,197,200,192,196,197,196
27,197,198,190,194,197,195
28,194,198,189,190,196,193
29,193,196,186,189,195,191
30,188,192,185,188,194,189
31,186,190,184,187,192,187
32,185,190,182,184,190,186
33,182,187,180,184,189,184
34,181,185,178,182,189,183
35,179,185,177,181,188,182
36,178,183,175,178,187,180
37,175,182,174,177,187,179
38,173,179,173,176,186,177
39,171,179,173,173,186,176
40,171,176,171,171,186,175
41,170,173,169,171,185,173
42,169,170,167,169,183,171
43,169,169,165,167,182,170
44,166,169,163,167,182,169
45,165,169,163,166,182,169
46,163,169,163,165,182,168
47,162,168,162,163,182,167
48,161,167,159,161,182,166
49,159,165,157,160,180,164
50,158,163,156,159,178,162
51,155,159,153,155,176,159
52,154,158,151,154,175,158
53,153,156,150,153,174,157
54,152,155,149,152,172,156
55,150,153,148,151,171,154
56,148,150,146,150,169,152
57,147,149,144,148,169,151
58,146,148,142,148,168,150
59,145,146,138,147,164,148
60,142,146,134,145,164,146
61,142,145,133,144,163,145
62,142,142,132,144,162,144
63,141,140,130,141,161,142
64,140,138,128,136,160,140
65,139,137,127,135,158,139
66,137,137,126,133,157,138
67,136,136,124,133,156,137
68,131,136,123,131,156,135
69,128,134,123,128,156,133
70,128,131,123,127,156,133
71,124,130,123,125,156,131
72,121,124,121,122,153,128
73,120,121,119,121,153,126
74,119,119,118,120,151,125
75,118,118,117,118,148,123
76,116,117,115,118,146,122
77,114,112,113,116,143,119
78,112,109,112,116,143,118
79,109,107,109,115,141,116
80,105,106,108,113,140,114
81,102,104,107,108,138,111
82,100,102,106,108,136,110
83,96,101,106,108,136,109
84,95,100,106,101,134,107
85,94,98,103,100,134,105
86,89,97,101,98,133,103
87,88,93,98,94,133,101
88,87,91,96,93,132,99
89,85,88,94,89,132,97
90,85,86,94,85,132,96
91,85,85,92,85,132,95
92,85,85,91,82,130,94
93,83,82,90,82,130,93
94,82,82,88,81,130,92
95,79,80,87,80,128,90
96,77,79,86,80,128,90
97,76,78,84,80,128,89
98,76,76,81,78,128,87
99,74,75,81,75,126,86
100,72,75,79,73,124,84
