round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,198
25,197
26,195
27,194
28,192
29,188
30,187
31,187
32,186
33,184
34,182
35,181
36,178
37,177
38,176
39,174
40,171
41,170
42,169
43,169
44,167
45,165
46,163
47,162
48,161
49,159
50,159
51,155
52,153
53,153
54,153
55,152
56,150
57,150
58,149
59,147
60,145
61,144
62,143
63,142
64,140
65,137
66,135
67,133
68,132
69,128
70,126
71,124
72,119
73,118
74,117
75,116
76,116
77,115
78,114
79,109
80,108
81,105
82,104
83,101
84,100
85,100
86,96
87,95
88,92
89,91
90,91
91,91
92,88
93,88
94,88
95,86
96,84
97,83
98,81
99,79
100,77
