round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,199
23,199
24,198
25,198
26,194
27,191
28,189
29,186
30,183
31,180
32,178
33,177
34,173
35,172
36,170
37,170
38,167
39,165
40,164
41,161
42,160
43,160
44,159
45,156
46,153
47,153
48,152
49,152
50,150
51,149
52,148
53,147
54,145
55,144
56,143
57,141
58,135
59,133
60,130
61,128
62,128
63,126
64,126
65,125
66,122
67,122
68,119
69,118
70,115
71,115
72,112
73,110
74,109
75,106
76,102
77,99
78,92
79,91
80,90
81,89
82,87
83,87
84,86
85,84
86,82
87,82
88,79
89,79
90,76
91,72
92,72
93,70
94,66
95,64
96,62
97,61
98,54
99,53
100,53
