round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,199
15,199
16,199
17,196
18,195
19,193
20,191
21,187
22,187
23,187
24,185
25,184
26,182
27,181
28,179
29,176
30,176
31,174
32,171
33,167
34,163
35,161
36,157
37,153
38,148
39,146
40,145
41,144
42,143
43,141
44,140
45,139
46,138
47,134
48,130
49,127
50,124
51,119
52,117
53,114
54,111
55,109
56,108
57,108
58,105
59,102
60,97
61,93
62,91
63,87
64,82
65,80
66,78
67,77
68,75
69,71
70,69
71,60
72,56
73,50
74,47
75,45
76,44
77,42
78,41
79,40
80,40
81,40
82,40
83,40
84,40
85,40
86,40
87,40
88,40
89,40
90,40
91,40
92,40
93,40
94,40
95,40
96,40
97,40
98,40
99,40
100,40
