round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,197
27,196
28,195
29,194
30,194
31,191
32,189
33,186
34,185
35,184
36,184
37,184
38,183
39,180
40,178
41,178
42,177
43,176
44,176
45,176
46,174
47,174
48,173
49,172
50,169
51,169
52,169
53,166
54,166
55,164
56,163
57,161
58,161
59,160
60,160
61,158
62,157
63,157
64,157
65,156
66,156
67,156
68,155
69,154
70,154
71,153
72,152
73,148
74,147
75,145
76,142
77,141
78,141
79,140
80,139
81,139
82,139
83,139
84,137
85,136
86,136
87,134
88,131
89,129
90,129
91,129
92,128
93,128
94,128
95,126
96,126
97,125
98,125
99,124
100,124
