round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,200
27,200
28,199
29,198
30,197
31,196
32,193
33,190
34,189
35,188
36,187
37,187
38,186
39,185
40,183
41,179
42,176
43,176
44,175
45,171
46,168
47,167
48,164
49,161
50,157
51,155
52,153
53,153
54,151
55,146
56,144
57,143
58,140
59,138
60,136
61,134
62,133
63,132
64,132
65,129
66,127
67,125
68,125
69,123
70,122
71,120
72,117
73,115
74,113
75,111
76,110
77,109
78,107
79,103
80,103
81,101
82,99
83,98
84,97
85,90
86,89
87,87
88,87
89,84
90,80
91,79
92,78
93,76
94,75
95,74
96,74
97,72
98,72
99,71
100,68
